id,uri,label,description,sampled_from,popularity_score,is_popular,category,category_id
Q93213706,http://www.wikidata.org/entity/Q93213706,濕漉漉派對,,books,0.0,False,随机采样实体,
Q93213702,http://www.wikidata.org/entity/Q93213702,石化大危機,,books,0.0,False,随机采样实体,
Q112079390,http://www.wikidata.org/entity/Q112079390,#536,2020年藝術作品,artworks,0.0,False,随机采样实体,
Q112079382,http://www.wikidata.org/entity/Q112079382,#533,2020年藝術作品,artworks,0.0,False,随机采样实体,
Q112079412,http://www.wikidata.org/entity/Q112079412,#550,2020年藝術作品,artworks,0.0,False,随机采样实体,
Q112079399,http://www.wikidata.org/entity/Q112079399,#539,2020年藝術作品,artworks,0.0,False,随机采样实体,
Q93213709,http://www.wikidata.org/entity/Q93213709,足球潮狂熱,,books,0.0,False,随机采样实体,
Q10568317,http://www.wikidata.org/entity/Q10568317,永比讲故事节,,festivals,53.0,False,随机采样实体,
Q5892785,http://www.wikidata.org/entity/Q5892785,小林鸠子,,fictional characters,132.0,False,随机采样实体,
Q5857862,http://www.wikidata.org/entity/Q5857862,三原一郎,,fictional characters,442.0,False,随机采样实体,
Q93290694,http://www.wikidata.org/entity/Q93290694,自由的甜蜜味道：美国奴隶制和恢复原状的真实故事,,books,1309.0,False,随机采样实体,
Q10788596,http://www.wikidata.org/entity/Q10788596,隊山籍田禮,,festivals,4325.0,False,随机采样实体,
Q889368,http://www.wikidata.org/entity/Q889368,全球語言觀察機構,,companies,4738.0,False,随机采样实体,
Q64034,http://www.wikidata.org/entity/Q64034,美職聯年度最佳後衛,,awards,5877.0,False,随机采样实体,
Q5860111,http://www.wikidata.org/entity/Q5860111,阿雅斯,,fictional characters,8240.0,False,随机采样实体,
Q18746,http://www.wikidata.org/entity/Q18746,羅斯科韋茨,阿尔巴尼亚费里州的市镇,cities,9024.0,False,随机采样实体,
Q1234157,http://www.wikidata.org/entity/Q1234157,罗比古斯,,festivals,13091.0,False,随机采样实体,
Q19258,http://www.wikidata.org/entity/Q19258,普雷尼亞斯,阿尔巴尼亚爱尔巴桑州的市镇,cities,13371.0,False,随机采样实体,
Q625724,http://www.wikidata.org/entity/Q625724,燃燈會,韩国用来庆祝释加牟尼诞辰的灯火节,festivals,16231.0,False,随机采样实体,
Q55229,http://www.wikidata.org/entity/Q55229,星際大戰：絕地星際戰鬥機,,video games,25010.0,False,随机采样实体,
Q469484,http://www.wikidata.org/entity/Q469484,保加利亞美國大學,保加利亚大学,universities,26621.0,False,随机采样实体,
Q478044,http://www.wikidata.org/entity/Q478044,哈山努丁大学,印尼大学,universities,30795.0,False,随机采样实体,
Q5893038,http://www.wikidata.org/entity/Q5893038,黑密契·阿勃纳西,,fictional characters,77453.0,False,随机采样实体,
Q891885,http://www.wikidata.org/entity/Q891885,廣播音樂公司,,companies,85754.0,False,随机采样实体,
Q616828,http://www.wikidata.org/entity/Q616828,睜開雙眼,,songs,87061.0,False,随机采样实体,
Q476521,http://www.wikidata.org/entity/Q476521,吞武里蒙固国王科技大学,泰国的大学,universities,92208.0,False,随机采样实体,
Q55272,http://www.wikidata.org/entity/Q55272,星球大战银河,,video games,103775.0,True,随机采样实体,
Q55239,http://www.wikidata.org/entity/Q55239,乐高星球大战2：原创三部曲,,video games,133234.0,True,随机采样实体,
Q615063,http://www.wikidata.org/entity/Q615063,時鐘（歌曲）,,songs,159159.0,True,随机采样实体,
Q899151,http://www.wikidata.org/entity/Q899151,帝国化学工业,,companies,163783.0,True,随机采样实体,
Q568987,http://www.wikidata.org/entity/Q568987,邏輯曲,,songs,174380.0,True,随机采样实体,
Q51067,http://www.wikidata.org/entity/Q51067,列宁奖,,awards,180706.0,True,随机采样实体,
Q55287,http://www.wikidata.org/entity/Q55287,星球大戰：黑暗力量,,video games,182110.0,True,随机采样实体,
Q572709,http://www.wikidata.org/entity/Q572709,你真懂我,,songs,193382.0,True,随机采样实体,
Q1756332,http://www.wikidata.org/entity/Q1756332,西蒙與舒斯特,美国出版公司,companies,246628.0,True,随机采样实体,
Q128811,http://www.wikidata.org/entity/Q128811,信義,,TV series,256800.0,True,随机采样实体,
Q990,http://www.wikidata.org/entity/Q990,四个坦克兵与狗,,TV series,285304.0,True,随机采样实体,
Q15142,http://www.wikidata.org/entity/Q15142,马萨诸塞大学阿默斯特分校,,universities,299661.0,True,随机采样实体,
Q230506,http://www.wikidata.org/entity/Q230506,時空怪客,,TV series,356289.0,True,随机采样实体,
Q2449,http://www.wikidata.org/entity/Q2449,摩加迪休,索馬里首都,cities,1015493.0,True,随机采样实体,
Q18808,http://www.wikidata.org/entity/Q18808,平壤,朝鮮首都,cities,1536726.0,True,随机采样实体,
Q41675,http://www.wikidata.org/entity/Q41675,吉尼斯世界纪录,工具书,awards,2271020.0,True,随机采样实体,
Q14420,http://www.wikidata.org/entity/Q14420,大英帝國勳章,嘉奖制度,awards,4267871.0,True,随机采样实体,
Q8539,http://www.wikidata.org/entity/Q8539,生活大爆炸,美國情景喜劇,TV series,7335382.0,True,随机采样实体,
